user,review,rating
Pengguna Google,aduhhh bahaya bngt aplikasi yng satu ini saking bagus nya aku sampai secinta ini sama aplikasi Tokopedia aku bener² SE sayang secinta ini sama dia💞😭💞💕🤩😍,5
Pengguna Google,"LUAR BIASA CS TOKOPEDIA TIDAK ADA RESPON BER JAM2, SEKALI DIBALAS MALAH DIBOHONGI SAYA SAMA AQILA CS APALAH NAMANYA ITU!!!!!!! TERIMA KASIH CS TOKOPEDIA!!!! MENDING KE SHOPEEE AJA BRO JANGAN KE TOKOPEDIA....",1
Pengguna Google,"Mungkin bisa hapus kerja sama dengan JNE karna sering telat ngirim paket! Gak cuma sekali dua kali, tapi sudah berkali kali!",4
Pengguna Google,"Baru coba di Tokopedia apa sama dg Shopi gratis ongkirnya reels bukan slogan blaka..kalau reel di Tokopedia gratis ongkir seperti di shoope saya kasih bintang 5,,,tapi kalau kebalikannya saya kasih bintang 3.",4
Pengguna Google,ternyata aplikasi ini makin g jelas.g mampu mempekerjakan custemer services manusia. saat minta bantuan yg jawab otomatis script robot semua.jangan order disini kalau mau barang dateng cepet.banyak toko off g ada respon gak dikirim tapi pembatalan otomatis bisa setengah bulanan.,1
Pengguna Google,"Komplain ke tokpet akibat kurir gak antar barang, terus pihak kurir ngembaliin barang ke penjual dengan sesuka hati. Pengembalian dana akibat salah kurirnya, malah harga barang nya aja dibalikin. Ongkir hangus hadehh gimana sih tokpet ini, tolong dong tokpet, kita yang rugi gini. Padahal pihak kurir yang salah, malah pihak toko dang pembeli yang rugi kacau",1
Pengguna Google,sangat bermanfaat sekali.,5
Pengguna Google,"Aplikasi bagus buat para pedagang, tapi jangan main blok dong, kasian mereka juga usaha seperti anda, andapun memakan uang dari hasil dagangan mereka, anda tak dirugikan oleh para penjual rokok dsb. Seharusnya bikin mereka maju untuk menghidupi keluarganya, sama layaknya kaya anda bikin aplikasi yg membuat keluargamu bangga juga kan. Please buat mereka maju bukan membinasakannya... Tuhhh pabrik rokok yg udah punya nama kenapa anda tidak membloknya... Sama² cari makan lahhh 😏",2
Pengguna Google,"Kenapa si harus upedet terus, ga kaya lazda /shopi ga pernah upedet ulang",1
Pengguna Google,okay,5
Pengguna Google,"Topup flazz 500rb. Tidak bisa update saldo. Melayang 500 rb tanpa aja kejelasan. Sudah hubungi tokopedia care, yg jawab bot AI. Gak ada kelanjutan. والله، لا أرضى",1
Pengguna Google,bagus,5
Pengguna Google,"Aplikasi bobrok makin lama makin parah management ini sama kaya gopay. Barang diragukan original nya pas retur harus pake ongkir pembeli, pas di kirim taunya diganti cuman 16.000 eh pas sampe dan udah kelar masalah retur malah ga diganti ongkir nya. Bukan dapat barang udah rugi ongkir 20.000. mudah2an cepet bangkrut ini aplikasi ini udah ngerugiin customer.",1
Pengguna Google,Pengiriman lamaaa bgtttt😮‍💨👎👎👎,4
Pengguna Google,"metode pembayaran gak bisa akumulasi, koin + gopay + tf. entah hilang kemana fitur nya. makin update makin jelek aja",1
Pengguna Google,"mohon,jgn pakai kurir jne,msak 3 x pasti telat kirimnya",3
Pengguna Google,keren,5
Pengguna Google,"dari segi ui dan ux, serta pengalaman berbelanja yang di optimasi sebaik mungkin dari pihak Tokopedia, yang membuat saya secara pribadi berasumsi bahwa, Tokopedia menjadi salah satu platform belanja online yang baik.",4
Pengguna Google,Saya kurangi 1 bintangnya karena tiket kereta api Sancaka utara dari Solo ke Lamongan atau sebaliknya belum ada padahal di KAI sudah ada sejak awal februari 2025,4
Pengguna Google,"makin buruk,seller busuk lebih dilindungi drpd pembeli.barang ada saat di klik beli dan bayar malah langsung habis,barang jg ndak dikirim.mintta dibatalin jg ditolak.mau report sulitnya bukan main alasan sistem eror.pantesan kalah teruus sama si orange.cancel beli masuk di saldo mau nyairin harus ganti hari.lelet",1
Pengguna Google,toko apa ini beli pake promo aja gak bisa kalo gak niat kasi promo gak usah bikin promo,1
Pengguna Google,"saya minta cancel pesanan saya yang masih diproses, karena toko sudah tutup(permanen)tapi harus nunggu pembatalan otomatis yg lama banget, masa 10 hari baru batal otomatis, uang saya ketahan dong. di aplikasi sebelah saja pembatalan otomatis cuma 2-3 hari. pantes disini sepi🤣🤣🤣",1
Pengguna Google,keren. gampang belanjanya,5
Pengguna Google,the best,5
Pengguna Google,"PENGAJUAN PEMBATALAN DI TOLAK OLEH PENJUAL ADA NOTIF DAN BUKTINYA SAYA. SEDANGKAN PIHAK PENJUAL TIDAK MERASA MENOLAK PEMBATALAN YG SAYA AJUKAN PENJUAL KIRIM SS NYA KE SAYA.BERTI YG TOLAK PENGJUAN PEMBATALAN SAYA SIAPA,TOKOPEDIA DI HUBUNGI SUSAH PARAH.KECEWA SAYA PARAH. PESAN BARANG ADA 4 CECKOUT SY,YANG SATU SAYA TOLAK BARNAG NYA KARENA PENGAJUAN PEMBATAN DI TOLAK DAN YANG SATU MASIH DI TAHAN SMPE SKEG BELOM TAU ITU DI KIRIM ATAU GA LAMA. TERAKHIR SY PAKAI TOKPED KAPOK.",1
Pengguna Google,percaya akan kualitas barang dan sangat membantu,5
Pengguna Google,aplikasinya tolol,1
Pengguna Google,"proses verifikasi dokumen komplain produk lama, pembelian kuota data pun bermasalah sampai 3kali, walaupun sudah di refund. CS di aplikasi pun tidak membantu",1
Pengguna Google,"pantes pada pindah ke shopee, shopee kirim dari jabar ke jatim 3 hari sampai. ini tokopedia kirim dari jatim ke jatim 4 hari belom sampai. kalian kenapa sih?",3
Pengguna Google,proses cepat mudah2an selalu amanah dan memuaskan,5
Pengguna Google,mantap,5
Pengguna Google,mudah dan murah..,5
Pengguna Google,mantaaaap,5
Pengguna Google,nice,5
Pengguna Google,Transaksi sdh d bayar lunas tapi pesanan tdk d kirim juga cek resi jg tdk dpt di lacak,2
Pengguna Google,mudah dan cepat,5
Pengguna Google,mantap buat beli device,5
Pengguna Google,Ini kenapa pembayaran via gopay gak bisa sih ? Eror terus deh perasaan,3
Pengguna Google,pembatalan otomatisnya makin lama saja,1
Pengguna Google,Best,5
Pengguna Google,Kenapa lelet bnget sihh kerjanya lama bnyak barang smpai,2
Pengguna Google,"Selama ini sudah oke, gratis ongkir nya oke, walau dibeberapa barang, namun tetimakasih, platfrom belanja utama saya, pembatalan nya mudah, karna 2 sampe 3hari tidak ada respon beberapa oknum penjualnya, jadi kadang metode pengembalian dana juga cepat, dari semua transaksi ini termasuk sesuailah, semoga kedepan makin banyak penjual yang amanah dengan produk yang menarik minat saya, 😊",5
Pengguna Google,pesanan komplain ga dilayanin dengan bener,1
Pengguna Google,mantap,4
Pengguna Google,"Jujur yah, Tokopedia untuk sekarang² buat saya kurang menguntungkan! Kurang happy aja, enggak serame di Shopee!! Ingat ya, saya tdk dibayar buat komentar ini oleh siapapun!! intinya, murni pengalaman saya sebagai pengguna Tokopedia!! Saya pikir, walaupun Tokopedia sudah kolaborasi sama Tiktok, tetep aja gak seheboh shopee, padahal shopee bisa berdiri tegak sendirian tanpa kolaborasi!! Buat kalian yang suka belanja gila²an, murah banyak voucher ini/itu, disarankan belanja di shopee aja :(",1
Pengguna Google,😏👌🏻👌🏻👌🏻🤙🏻,5
Pengguna Google,banyak promonya😭😍,5
Pengguna Google,top,5
Pengguna Google,Okey utk saat ini,5
Pengguna Google,tokopedia terbaik,5
Pengguna Google,"kena PHP terus dapet voucher diskon malah di batalkan sistem terus, jadinya voucher hangus, bukan 1x 2x di batalkan sistem sering banget",3
Pengguna Google,👎,1
Pengguna Google,"Susah banget buat ganti nomor hp yg sudah tidak aktif, mana transaksi tiba tiba dibatalkan otomatis jadi saldo akhirnya tidak bisa ditarik",1
Pengguna Google,mntap,5
Pengguna Google,"Kecewa berat dengan tokopedia, dari awal saya sudah menduga, bahwa order saya akan dibatalkan karena batas akhir pengiriman lebih lambat 1hari setelah ""batal otomatis"" jadi sebelum batas akhir pengiriman oleh seller, pesanan di batal otomatis oleh sistem. Saya tidak tahu apakah ada semacam ""rekayasa"", dari  saya saja sudah terkumpul dana +/- 200 rb, ada berapa banyak pelanggan yang mengalami hal sama seperti saya dan berapa banyak dana mengendap di akun tokopedia. KECEWA",1
Pengguna Google,"kurir rekomendasi JNE , harusnya rekomendasi tuh lebih cepet dari standar ini mah 10 x lebih lelet . hubungi customer tokped yang bales robot bukan manusia, Gedeg sendiri.",1
Pengguna Google,Tokopedia banyak penipuannya . Barusan gw kena tipu di Tokopedia,1
Pengguna Google,bagus trmkasih,5
Pengguna Google,baguss,5
Pengguna Google,"Tokopedia sy sering terjadi masalah, yg paling sering tidak muncul gambar dan ad tulisan error, kira kira bisa di perbaiki tidak ya?,",4
Pengguna Google,udh di tunggu barangnya tapi dibatalkan sistem,1
Pengguna Google,"bagus, mempermudah belanja online terpercaya",5
Pengguna Google,mantappp,5
Pengguna Google,"cs Tokopedia kerja woii,, masa yg jawab robot semua",5
Pengguna Google,kiriman cepat,5
Pengguna Google,Ok,5
Pengguna Google,lebih cepat dan simpel,5
Pengguna Google,top,5
Pengguna Google,"nunggu paket datang klw beli di tokopedia bisa sampe berakar lamanya luar biasa, mending nggk usah beli di toko ini.",1
Pengguna Google,"Saya beli barang suda 8 hari belum sampai expedisi REX,MENGECEWAKAN",1
Pengguna Google,di batalkan sepihak padhal dapat harga promo,1
Pengguna Google,mantab dah... terpercaya,5
Pengguna Google,saldo sya ketarik SM tokopedia secara otomatis sya mohon tolong balikin dana sya sebesar 510.000 sya pusing sya ga merasa beli ko bisa ketarik tolong balikin uang sya sya minta tolong SM anda balikin uang sya 😭😭😭😭😭,1
Pengguna Google,Tolong segera ditindak lanjut i toko yang nakal Sya kmbalikan barang sudah ditrima dri tgl 13 maret smpai skrg uang refund saya belum masuk ke uang refund Uang itu mau saya pakai lagi buat beli lensa,1
Pengguna Google,"BIKIN PROMO GIMMICK DOANG, NGASIH VOCHER TAPI KETIKA DIPAKAI MALAH GABISA ALASANNYA TIDAK SESUAI KETENTUAN. LANTAS KENAPA DIKASIH VOCHERNYA ??? SEKARANG UANG SAYA DALAM PROSES PENGEMBALIAN SELAMA 14HARI KERJA, NGAPAIN LAMA BANGET??? ITU KALO DISIMPEN DI DEPOSITO UDAH DAPET BUNGA 6% TOKPED RUSAK EMNG MENDING SHOPEE",1
Pengguna Google,"Kurir rekomendasinya gak jelas, paket tidak dikirim. Sudah claim pengembalian dana tp ga balik2 dananya. Rugi barang dan rugi uang ahirnya. Tokopedia kacau",1
Pengguna Google,bagus,5
Pengguna Google,"Untuk tokped sebener nya udah bagus,tp saran saya perbaiki jasa kirim nya, sya blanja bberapa kali di kirim pake JNE lambat bgt,SPX aja yg sama"" dr jkarta ke banten 3 hari sampe,kalo JnE nyampe 8 hari,itu pun di cek status nya gak jelas, TOLONG PERBAIKI JASA KIRIM NYA,UDAH KE SEKIAN KALI NYA JASA KIRIM MENUNDA NUNDA PENGIRIMAN BER ALASAN 1.GAK ADA TEMEN NYA 2.HUJAN 3.GAK BERANI UDAH MALEM 4.BELUM SEMPAT 5.PENERIMA GAK DI TEMPAT,(bohong)",1
Pengguna Google,josss brooo,5
Pengguna Google,oke,5
Pengguna Google,trimakasih Tokopedia,5
Pengguna Google,mudah,5
Pengguna Google,jelekkk..bolak balik update mulu!,1
Pengguna Google,"Sy order brg byr pakai gopoin malah g ada transaksi.Malah ulang lagi. Sebelumnya berhasil g taunya g ad transaksi.G jls jg, untung gopoin nya dipulangkan, tp agak kecewa aj dikit biasa bagus2 aj.",3
Pengguna Google,lambat jaringan 5G,1
Pengguna Google,👍bagus,5
Pengguna Google,Banyak Toko yg Tidak mengirimkan barang yg dipesan dan voucher diskon hilang apabila di batalkan oleh system.. Saya pikir itu trap supaya voucher hilang ya?,1
Pengguna Google,aneh bngt tiba tiba pesenan dibatalkan sistem padahal sudah di bayar dan ga bisa dibalikin duit yang sudah dibayar tidak ada penyelesaian yang jelas,1
Pengguna Google,aplikasinya berat bos.. lemot,5
Pengguna Google,mantap,5
Pengguna Google,hati2 tokopedia apk berkerja sama dngn tiktok jika anda menyimpan uang di apk dana mereka akan menyedot saldo anda akan di kuras abis abisan,1
Pengguna Google,"Alamat pengiriman tidak bisa diganti, otomatis mengarah ke Kab. Manokwari, Papua. Gajelas apknya..",1
Pengguna Google,"Mengecewakan, sudah jadi tokopedia affiliate dan sudah share link beberapa product ke beberapa orang dan sudah ada yang beli, namun beberapa beberapa minggu komisi tidak juga diberikan. Saat ditanyakan ke Tokopedia care jawabannya terlalu mengada-ada.",1
Pengguna Google,"Aplikasi bagus cm kl ada retur barang selalu konsumen yang di suruh anter ke gerai kurir, ada opsi jemput kurir tapi ga guna",1
Pengguna Google,sering ngebug gajelas,1
Pengguna Google,pertama kali belanja,4
Pengguna Google,mudah,5
Pengguna Google,Susah cari barang yg sama,3
Pengguna Google,"min keluhan lagi, di tokped tidak bisa menggunakan pembayaran dana? di tokped bertuliskan ""ada gangguan di rumah tokped"" apakah gangguan? dulu mah tidak",5
Pengguna Google,mantappp,4
Pengguna Google,"Baik tp kadang bonusnya di bolak balik ,shg untuk dijadikan uang susah",5
Pengguna Google,"Produk mahal mahal, bedanya jauh bngt dengan shopee, saya uninstall aja",1
Pengguna Google,Apasih Tokopedia gua udah bayar malah di batalin otomatis hilang deh diskon nya Kocak,1
Pengguna Google,"Udh gk ada voucher diskon jd males pake toped, mending pake si oren aja jelas.",1
Pengguna Google,mantep,4
Pengguna Google,baik,5
Pengguna Google,mantap,5
Pengguna Google,good,5
Pengguna Google,Ok,5
Pengguna Google,jos sekali,5
Pengguna Google,oke,5
Pengguna Google,sangat membantu trimakasih 🙏🙏🙏,4
Pengguna Google,"Saran saya putus mitra aja sama jnt, sudah sering pesan barang bermasalah dipengiriman sama jnt.",1
Pengguna Google,mantull bingit,5
Pengguna Google,"banyak promo, trimaksih tokpeddd",5
Pengguna Google,"Ini e-commerce makin lama makin bobrok pelayanannya & kurang ajar. Keluhan Konsumen cuman bisa dilayanin pake Chat Bot & terkesan disengaja biar gabisa dikomplain kalo ngga kooperatif kinerjanya. Kalo begitu terus, Hati-hati, market gampang berubah",1
Pengguna Google,bagus kali,4
Pengguna Google,"Proses kok hampir 7 hari, ini mau beli atau mau langganan michat, mending apk sebelah dari pada ini proses kayak memproses mayat lama amattt",1
Pengguna Google,"saldo dana saya tiba2 hilang terpotong ,,padahal saya tidak ada transaksi dengan tokopedia",1
Pengguna Google,bagus banget saya sangat suka,5
Pengguna Google,Terima kasih tokped🙏,5
Pengguna Google,gudjob,5
Pengguna Google,"sedikit cemas bila tidak ada opsi cod ,soalnya sering nya cod bos",1
Pengguna Google,Saya suka belanja di Tokopedia ini. Segalanya tersedia,5
Pengguna Google,nice,5
